"","Nome","Classe","Codigo","Setor","Subsetor","VolNegAno","PatrLiquid","Nome_indice","Valor_indice","Ano"
"62","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoLucro",NA,"2017"
"63","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoLucro",7.9,"2018"
"64","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoLucro",8.7,"2019"
"65","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoLucro",4.5,"2020"
"66","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoLucro",4.6,"2021"
"67","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"Preco_ValorPatrim",NA,"2016"
"68","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"Preco_ValorPatrim",NA,"2017"
"69","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"Preco_ValorPatrim",0.6,"2018"
"70","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"Preco_ValorPatrim",0.9,"2019"
"71","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"Preco_ValorPatrim",0.6,"2020"
"72","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"Preco_ValorPatrim",0.7,"2021"
"73","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoVendas",NA,"2016"
"74","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoVendas",NA,"2017"
"75","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoVendas",0.4,"2018"
"76","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoVendas",0.5,"2019"
"77","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoVendas",0.5,"2020"
"78","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoVendas",0.4,"2021"
"79","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoEBITDA",NA,"2016"
"80","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoEBITDA",NA,"2017"
"81","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoEBITDA",3.2,"2018"
"82","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoEBITDA",4,"2019"
"83","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoEBITDA",2.7,"2020"
"84","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"PrecoEBITDA",2.7,"2021"
"85","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"Preco_FCF",NA,"2016"
"86","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"Preco_FCF",NA,"2017"
"87","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"Preco_FCF",2.3,"2018"
"88","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"Preco_FCF",52.3,"2019"
"89","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"Preco_FCF",2.7,"2020"
"90","Aco Altona","PN","EALT4","Bens industriais","Máquinas e equipamentos",75,184,"Preco_FCF",66.9,"2021"
"91","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoLucro",NA,"2016"
"92","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoLucro",NA,"2017"
"93","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoLucro",NA,"2018"
"94","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoLucro",NA,"2019"
"95","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoLucro",55.9,"2020"
"96","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoLucro",92.8,"2021"
"97","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"Preco_ValorPatrim",NA,"2016"
"98","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"Preco_ValorPatrim",NA,"2017"
"99","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"Preco_ValorPatrim",NA,"2018"
"100","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"Preco_ValorPatrim",NA,"2019"
"101","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"Preco_ValorPatrim",7.9,"2020"
"102","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"Preco_ValorPatrim",6.2,"2021"
"103","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoVendas",NA,"2016"
"104","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoVendas",NA,"2017"
"105","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoVendas",NA,"2018"
"106","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoVendas",NA,"2019"
"107","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoVendas",2.9,"2020"
"108","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoVendas",2.3,"2021"
"109","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoEBITDA",NA,"2016"
"110","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoEBITDA",NA,"2017"
"111","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoEBITDA",NA,"2018"
"112","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoEBITDA",NA,"2019"
"113","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoEBITDA",27.6,"2020"
"114","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"PrecoEBITDA",28.2,"2021"
"115","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"Preco_FCF",NA,"2016"
"116","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"Preco_FCF",NA,"2017"
"117","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"Preco_FCF",NA,"2018"
"118","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"Preco_FCF",NA,"2019"
"119","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"Preco_FCF",-8,"2020"
"120","Aeris","ON","AERI3","Bens industriais","Máquinas e equipamentos",843,966,"Preco_FCF",-14.4,"2021"
"121","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoLucro",15.1,"2016"
"122","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoLucro",16.8,"2017"
"123","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoLucro",13.7,"2018"
"124","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoLucro",21.2,"2019"
"125","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoLucro",7.8,"2020"
"126","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoLucro",12.9,"2021"
"127","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"Preco_ValorPatrim",3.5,"2016"
"128","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"Preco_ValorPatrim",3.2,"2017"
"129","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"Preco_ValorPatrim",2.6,"2018"
"130","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"Preco_ValorPatrim",4.4,"2019"
"131","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"Preco_ValorPatrim",3.6,"2020"
"132","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"Preco_ValorPatrim",2.6,"2021"
"133","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoVendas",3.5,"2016"
"134","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoVendas",2.9,"2017"
"135","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoVendas",2,"2018"
"136","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoVendas",3.1,"2019"
"137","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoVendas",3.3,"2020"
"138","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoVendas",7.7,"2021"
"139","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoEBITDA",6.7,"2016"
"140","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoEBITDA",6,"2017"
"141","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoEBITDA",3.9,"2018"
"142","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoEBITDA",6.1,"2019"
"143","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoEBITDA",3.2,"2020"
"144","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"PrecoEBITDA",8.8,"2021"
"145","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"Preco_FCF",10.2,"2016"
"146","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"Preco_FCF",7,"2017"
"147","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"Preco_FCF",18.5,"2018"
"148","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"Preco_FCF",10.9,"2019"
"149","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"Preco_FCF",8.5,"2020"
"150","AES Brasil","ON","AESB3","Utilidade pública","Energia elétrica",8129,1842,"Preco_FCF",-22.2,"2021"
